gebaeude_id,region,gebaeudetyp,wohnflaeche_m2,baujahr,renovierungsjahr,anzahl_personen,isolationsstandard,fenster_typ,heizungsart,avg_innentemp_c,heizgradtage,warmwasseranteil,lueftungsanlage,eta_heizung,pv_kwp,smart_meter,jahresenergieverbrauch_kwh,verbrauch_kwh_pro_m2,effizienzklasse
54,sued,einfamilienhaus,250.9,1963,1997.0,5,1,zweifach,gas,21.2,3342,0.169,0,0.92,9.44,0,31902,127.13,C
55,west,einfamilienhaus,210.2,1999,,5,3,dreifach,gas,20.3,2923,0.247,0,0.89,5.86,1,14325,68.15,B
56,nord,einfamilienhaus,130.0,1966,,1,1,dreifach,gas,18.2,3749,0.153,0,0.82,0.0,1,14035,107.95,C
57,west,mehrfamilienhaus,178.4,1974,,3,2,alt,gas,22.3,3389,0.145,0,0.86,0.0,1,21260,119.2,C
58,nord,einfamilienhaus,192.0,1985,2014.0,4,2,zweifach,gas,18.2,3658,0.121,0,0.81,0.0,1,22287,116.1,C
59,ost,mehrfamilienhaus,343.1,1976,,4,2,dreifach,gas,21.2,3217,0.148,0,0.89,0.0,1,24633,71.79,B
60,west,schule,105.2,2015,2019.0,2,3,zweifach,gas,23.4,2947,0.313,0,0.9,0.0,0,8294,78.8,B
61,sued,einfamilienhaus,190.9,2022,,2,3,zweifach,waermepumpe,20.7,2897,0.101,0,3.24,0.0,1,15437,80.89,B
62,nord,mehrfamilienhaus,250.4,1987,1988.0,3,2,zweifach,gas,20.8,3574,0.113,0,0.91,0.0,1,27948,111.62,C
63,nord,einfamilienhaus,324.7,1989,,5,3,zweifach,waermepumpe,21.0,2606,0.177,0,2.85,0.0,0,16500,50.81,B
64,west,buero,127.2,1954,1955.0,3,1,dreifach,fernwaerme,20.7,3535,0.279,1,0.92,0.0,0,10067,79.16,B
65,nord,einfamilienhaus,143.5,1967,,2,2,zweifach,waermepumpe,23.3,3175,0.217,0,3.31,11.53,0,12128,84.51,B
66,ost,mehrfamilienhaus,229.7,1952,,3,1,dreifach,gas,19.5,3070,0.258,1,0.92,0.0,0,18992,82.7,B
67,nord,einfamilienhaus,84.2,2014,,1,3,dreifach,waermepumpe,19.3,3323,0.161,1,3.11,0.0,1,3237,38.44,A
68,nord,einfamilienhaus,199.1,1967,1994.0,2,2,zweifach,waermepumpe,20.1,3336,0.11,1,4.02,6.84,1,15042,75.55,B
69,west,einfamilienhaus,399.7,1975,2008.0,7,2,dreifach,pellet,22.6,2640,0.158,0,0.94,5.94,1,26532,66.39,B
70,nord,einfamilienhaus,208.3,2013,,5,3,zweifach,waermepumpe,19.8,3403,0.174,1,3.56,0.0,0,16255,78.03,B
71,sued,schule,60.9,2003,2025.0,1,2,zweifach,gas,21.4,3158,0.181,0,0.87,0.0,0,6174,101.42,C
72,sued,einfamilienhaus,116.8,1996,1996.0,2,2,alt,pellet,21.8,2234,0.169,0,0.81,6.77,0,8388,71.81,B
73,nord,halle,128.9,1952,1970.0,3,1,zweifach,waermepumpe,19.4,2895,0.21,0,3.03,0.0,0,14308,111.01,C
74,sued,mehrfamilienhaus,276.0,1992,2025.0,2,3,zweifach,gas,21.7,3264,0.144,0,0.78,3.75,1,20193,73.15,B
75,ost,einfamilienhaus,160.2,1992,,3,2,dreifach,gas,22.2,3348,0.134,0,1.0,0.0,0,11942,74.56,B
76,west,einfamilienhaus,76.1,1973,1994.0,5,1,zweifach,pellet,20.9,3205,0.12,0,0.91,0.0,0,8492,111.64,C
77,west,einfamilienhaus,168.2,2005,2022.0,3,1,zweifach,gas,20.0,2861,0.19,0,0.83,,0,17554,104.34,C
78,west,buero,183.2,2019,2025.0,3,2,dreifach,waermepumpe,20.7,3350,0.185,0,3.02,0.0,1,11692,63.83,B
79,ost,einfamilienhaus,136.1,1969,,3,2,dreifach,oel,20.1,2679,0.235,0,0.9,0.0,0,12282,90.22,B
80,west,buero,108.3,1974,1994.0,4,1,dreifach,waermepumpe,23.5,3052,0.257,0,4.01,0.0,0,7025,64.84,B
81,sued,einfamilienhaus,419.9,1974,,8,2,alt,gas,19.9,2493,0.12,0,0.86,0.0,0,50227,119.61,C
82,ost,einfamilienhaus,250.7,2012,2025.0,2,3,zweifach,waermepumpe,21.1,3043,0.181,0,3.34,0.0,0,14820,59.1,B
83,nord,einfamilienhaus,260.9,1955,,5,1,zweifach,fernwaerme,18.7,2989,0.17,0,0.98,4.47,1,36920,141.53,C
84,nord,mehrfamilienhaus,160.3,2017,,6,3,zweifach,waermepumpe,20.7,3615,0.103,0,3.51,4.6,1,8953,55.85,B
85,ost,mehrfamilienhaus,126.2,2008,2025.0,3,3,zweifach,gas,20.2,3252,,1,0.86,0.0,1,13374,105.95,C
86,ost,schule,139.1,1986,2010.0,1,1,alt,gas,21.7,2900,0.258,0,0.83,4.14,0,14660,105.41,C
87,west,einfamilienhaus,92.7,1993,,2,2,dreifach,gas,21.3,3482,0.148,0,0.84,0.0,1,9960,107.44,C
88,west,einfamilienhaus,340.0,2017,2025.0,4,3,zweifach,gas,22.2,2765,0.14,0,0.87,10.41,1,27646,81.3,B
89,nord,buero,163.2,2007,2016.0,4,3,zweifach,pellet,22.1,3338,0.177,0,1.0,12.69,1,9175,56.22,B
90,west,mehrfamilienhaus,304.8,1970,1982.0,4,3,zweifach,gas,20.4,2885,0.226,0,0.86,3.74,0,24954,81.88,B
91,sued,buero,142.1,1953,1965.0,2,1,dreifach,gas,19.4,3210,0.165,1,0.9,9.56,1,11662,82.09,B
92,sued,einfamilienhaus,209.7,1999,,2,2,zweifach,waermepumpe,19.5,3175,0.186,0,2.67,7.66,1,17702,84.43,B
93,west,mehrfamilienhaus,187.7,1960,,2,1,alt,gas,20.9,3556,0.066,0,0.84,0.0,0,24341,129.69,C
94,sued,einfamilienhaus,88.6,1956,1956.0,3,2,zweifach,gas,20.7,2979,0.209,0,0.85,4.13,0,7880,88.92,B
95,sued,halle,359.9,2023,,6,3,zweifach,waermepumpe,18.8,1914,0.191,1,2.87,,0,20335,56.5,B
96,nord,einfamilienhaus,144.0,1985,2019.0,2,2,alt,oel,19.9,3199,0.224,0,0.87,0.0,1,17836,123.89,C
97,nord,buero,101.0,1998,2022.0,1,2,alt,waermepumpe,22.2,3898,0.087,0,3.36,0.0,0,8275,81.96,B
98,west,einfamilienhaus,230.5,1966,1978.0,2,2,zweifach,fernwaerme,18.7,2986,0.165,0,0.94,0.0,1,19782,85.83,B
99,nord,buero,172.1,1957,,1,2,dreifach,gas,,2679,0.228,0,0.83,14.21,1,12922,75.09,B
100,nord,buero,201.3,1954,1964.0,3,2,alt,fernwaerme,19.2,3507,0.152,1,0.97,11.28,1,23704,117.77,C
101,ost,buero,179.9,1976,1988.0,4,2,dreifach,waermepumpe,20.2,3283,0.183,0,2.79,0.0,0,9930,55.21,B
102,sued,einfamilienhaus,63.3,1950,,1,1,dreifach,gas,22.0,2695,0.16,0,0.76,0.0,1,4553,71.93,B
103,ost,einfamilienhaus,115.1,1981,,4,2,dreifach,waermepumpe,20.2,3014,0.161,1,3.5,10.38,0,4026,34.98,A
104,west,buero,113.1,1974,,1,2,alt,oel,20.6,2803,0.238,1,0.75,0.0,1,13710,121.2,C
105,ost,mehrfamilienhaus,259.1,1989,1995.0,4,2,dreifach,fernwaerme,21.3,3283,0.109,0,0.85,0.0,0,21818,84.19,B
106,west,mehrfamilienhaus,175.0,1994,1998.0,2,2,zweifach,waermepumpe,20.1,3120,0.177,0,2.52,14.71,0,9390,53.66,B
107,sued,einfamilienhaus,215.3,1973,2011.0,5,2,zweifach,gas,21.0,2542,0.193,0,0.95,8.53,0,19532,90.72,B
108,sued,einfamilienhaus,147.8,1984,,5,3,dreifach,oel,20.8,2947,0.227,1,0.75,0.0,1,15581,105.39,C
109,nord,einfamilienhaus,220.1,1955,1982.0,2,1,dreifach,gas,19.1,3093,0.174,1,0.89,0.0,1,17479,79.42,B
110,ost,mehrfamilienhaus,160.5,1972,,2,1,zweifach,waermepumpe,19.9,3611,0.228,0,2.95,0.0,0,13434,83.71,B
111,west,einfamilienhaus,155.3,2023,,4,3,dreifach,fernwaerme,20.9,3413,0.177,0,0.91,7.37,0,8421,54.22,B
112,west,einfamilienhaus,187.1,2024,,1,3,zweifach,gas,22.0,3057,0.186,0,0.83,3.63,1,17522,93.65,B
113,ost,buero,179.9,1986,2009.0,4,2,alt,gas,22.0,3128,0.184,0,0.89,10.37,0,17808,99.01,B
114,west,mehrfamilienhaus,484.1,2020,2025.0,8,4,zweifach,pellet,23.0,3455,0.213,0,0.85,0.0,0,29627,61.2,B
115,west,schule,114.5,1987,2003.0,2,2,dreifach,gas,21.5,3039,,1,0.74,0.0,1,10166,88.77,B
116,nord,einfamilienhaus,84.5,1959,1968.0,2,2,dreifach,gas,20.0,3615,0.124,1,0.92,0.0,0,7590,89.82,B
117,sued,einfamilienhaus,199.3,2015,,5,4,zweifach,gas,20.4,3467,0.191,0,0.8,5.03,0,15784,79.2,B
118,west,mehrfamilienhaus,121.7,1981,2003.0,4,2,zweifach,fernwaerme,20.4,2928,0.207,0,0.9,4.34,0,10022,82.33,B
119,west,einfamilienhaus,60.4,1995,,1,2,zweifach,gas,20.0,3676,0.253,0,0.96,5.99,1,5795,95.87,B
120,nord,mehrfamilienhaus,103.2,1998,2014.0,1,1,dreifach,waermepumpe,21.0,3824,0.13,0,3.49,0.0,1,7087,68.65,B
121,nord,einfamilienhaus,433.0,1973,1998.0,6,1,dreifach,waermepumpe,21.0,3437,0.207,0,4.0,0.0,0,37787,87.27,B
122,ost,mehrfamilienhaus,113.2,2005,,3,1,zweifach,gas,19.1,2945,0.163,1,0.91,0.0,0,11335,100.15,C
123,ost,einfamilienhaus,73.0,1987,,1,2,dreifach,fernwaerme,21.8,3183,0.19,0,0.92,0.0,0,6401,87.69,B
124,nord,mehrfamilienhaus,420.1,1977,,7,2,alt,gas,18.3,3264,0.126,0,0.82,0.0,0,53682,127.8,C
125,sued,buero,101.5,1972,,2,1,zweifach,gas,20.2,2673,0.179,0,0.76,0.0,0,7858,77.43,B
126,sued,einfamilienhaus,554.7,2005,2005.0,8,2,alt,fernwaerme,21.9,3136,0.196,0,0.97,0.0,0,73876,133.19,C
127,nord,einfamilienhaus,145.0,1968,,3,2,zweifach,gas,21.2,2992,0.131,0,0.92,0.0,1,14483,99.88,B
128,sued,mehrfamilienhaus,360.6,1959,1994.0,8,1,zweifach,waermepumpe,20.1,2832,0.252,0,2.97,10.01,0,27562,76.44,B
129,nord,mehrfamilienhaus,153.7,2016,2016.0,2,3,dreifach,fernwaerme,22.9,3236,,0,0.86,0.0,1,6967,45.32,A
130,ost,einfamilienhaus,210.2,1974,2005.0,3,2,zweifach,gas,20.0,2622,0.207,0,0.91,0.0,1,23412,111.36,C
131,west,einfamilienhaus,162.1,1998,2025.0,4,1,alt,pellet,18.1,3330,0.059,0,0.96,6.1,0,24926,153.82,C
132,west,buero,154.3,2003,2006.0,3,3,dreifach,fernwaerme,21.0,3020,0.167,0,0.94,0.0,1,13115,85.01,B
133,nord,mehrfamilienhaus,191.9,2012,,5,2,dreifach,gas,18.4,3805,0.204,0,0.87,0.0,1,18322,95.47,B
134,west,mehrfamilienhaus,213.7,1996,,4,2,dreifach,fernwaerme,19.5,3014,0.216,1,0.93,0.0,0,16576,77.57,B
135,west,einfamilienhaus,185.3,2003,2025.0,3,2,dreifach,pellet,21.2,2958,0.175,1,0.87,0.0,0,16701,90.12,B
136,sued,schule,176.8,2012,2025.0,1,3,dreifach,oel,20.3,2633,0.168,0,0.86,5.45,1,10669,60.34,B
137,west,einfamilienhaus,122.2,2020,2025.0,1,2,dreifach,oel,21.2,3114,,0,0.76,0.0,0,10784,88.26,B
138,nord,einfamilienhaus,164.9,1953,,1,1,alt,oel,19.1,3366,0.228,0,0.83,0.0,1,25738,156.13,C
139,nord,mehrfamilienhaus,339.3,2005,2025.0,6,2,dreifach,gas,21.5,3610,0.249,1,0.94,0.0,1,34576,101.91,C
140,west,einfamilienhaus,119.7,1963,1986.0,1,1,zweifach,gas,18.5,3123,0.115,0,0.84,0.7,0,15798,131.96,C
141,sued,mehrfamilienhaus,194.5,2016,2025.0,5,2,zweifach,fernwaerme,22.1,3683,0.17,0,0.91,0.0,0,16686,85.81,B
142,ost,einfamilienhaus,290.7,1953,,5,1,zweifach,waermepumpe,19.9,3260,0.07,0,2.26,0.0,1,34747,119.51,C
143,nord,einfamilienhaus,214.5,1968,,3,1,zweifach,waermepumpe,22.3,3005,0.112,0,3.13,0.0,0,19229,89.64,B
144,nord,mehrfamilienhaus,260.4,1964,1966.0,3,1,zweifach,gas,19.5,2975,0.145,0,0.94,9.21,0,22814,87.61,B
145,nord,einfamilienhaus,100.8,1995,2025.0,2,2,zweifach,oel,22.8,3537,0.223,0,0.86,6.93,0,9474,94.0,B
146,nord,mehrfamilienhaus,194.7,1950,,2,1,zweifach,gas,19.4,2994,0.156,0,0.89,0.0,1,19481,100.07,C
147,west,mehrfamilienhaus,150.4,1951,,1,2,alt,gas,18.3,3308,0.166,1,0.91,0.0,1,15347,102.06,C
148,ost,einfamilienhaus,153.3,1987,1991.0,4,3,dreifach,waermepumpe,20.6,3413,0.195,0,3.45,0.0,0,9453,61.68,B
149,west,mehrfamilienhaus,325.8,2022,2025.0,6,3,zweifach,gas,22.0,3422,0.146,0,0.95,5.83,1,19155,58.79,B
150,nord,buero,154.4,1989,1998.0,2,1,alt,waermepumpe,21.4,3046,0.08,0,3.7,0.0,1,13825,89.56,B
151,ost,buero,197.5,1983,2003.0,4,2,alt,oel,21.9,3423,0.143,0,0.76,0.0,0,26303,133.15,C
152,west,einfamilienhaus,73.0,1999,,1,3,alt,waermepumpe,21.5,3213,0.174,0,3.08,10.89,1,6126,83.88,B
153,nord,mehrfamilienhaus,360.4,1991,,6,3,zweifach,waermepumpe,19.5,3137,0.203,0,3.84,5.03,0,28327,78.6,B
154,ost,schule,253.5,1978,1984.0,3,2,zweifach,waermepumpe,21.8,3044,0.17,0,2.37,0.0,0,22593,89.13,B
155,west,mehrfamilienhaus,167.6,1994,2019.0,5,1,zweifach,waermepumpe,20.6,3265,0.203,0,2.73,0.0,0,10184,60.75,B
156,nord,einfamilienhaus,147.4,1950,,2,1,dreifach,waermepumpe,19.6,3115,0.226,0,3.46,2.74,0,9993,67.81,B
157,nord,einfamilienhaus,224.4,1968,1993.0,6,3,dreifach,fernwaerme,20.7,3456,0.236,0,0.96,0.0,1,17756,79.11,B
158,west,mehrfamilienhaus,289.1,2000,,5,1,dreifach,gas,20.4,3606,0.189,0,0.85,0.0,0,31649,109.47,C
159,ost,buero,362.7,1975,,7,1,dreifach,gas,22.2,3437,0.123,0,0.86,0.0,1,34304,94.57,B
160,sued,schule,249.6,1954,1987.0,5,2,alt,waermepumpe,20.3,2979,0.118,0,3.54,0.0,0,21994,88.11,B
161,nord,schule,177.9,1959,,4,1,dreifach,gas,20.2,3432,0.122,1,0.9,0.0,0,22616,127.13,C
162,nord,einfamilienhaus,267.3,2014,,3,2,alt,pellet,19.7,3162,0.126,0,0.87,7.84,1,28849,107.91,C
163,ost,mehrfamilienhaus,244.8,1974,1987.0,5,3,dreifach,gas,22.8,2922,0.185,0,0.85,12.41,1,10932,44.66,A
164,sued,einfamilienhaus,178.2,1951,1968.0,5,1,zweifach,waermepumpe,19.7,2412,0.274,1,3.54,5.53,0,14510,81.42,B
165,ost,einfamilienhaus,241.5,2004,2025.0,4,2,dreifach,gas,22.1,3188,0.191,0,0.9,0.0,0,19074,78.99,B
166,west,einfamilienhaus,239.4,1989,2022.0,4,1,zweifach,pellet,19.3,3339,0.176,0,0.93,0.0,0,24409,101.96,C
167,west,schule,167.2,1983,,2,3,zweifach,gas,21.5,3075,0.228,0,0.87,3.67,1,14483,86.62,B
168,sued,einfamilienhaus,134.9,2017,2025.0,2,3,alt,gas,20.8,2643,0.139,0,0.81,0.0,0,9779,72.49,B
169,ost,mehrfamilienhaus,229.9,1973,,6,2,zweifach,waermepumpe,22.0,3123,0.232,0,3.28,0.0,0,16046,69.8,B
170,sued,einfamilienhaus,105.8,1992,,1,3,zweifach,gas,21.8,3420,0.228,0,0.92,0.0,1,9638,91.13,B
171,sued,einfamilienhaus,95.6,2005,2025.0,1,2,alt,gas,20.6,3264,0.183,0,0.93,6.51,1,7493,78.38,B
172,nord,mehrfamilienhaus,199.0,1995,,5,2,zweifach,waermepumpe,19.9,3340,0.285,1,3.28,0.0,0,18372,92.33,B
173,west,einfamilienhaus,227.0,1965,1990.0,5,2,zweifach,waermepumpe,22.4,3817,0.236,0,3.46,0.0,1,18434,81.2,B
174,sued,einfamilienhaus,198.3,2001,2014.0,6,3,zweifach,gas,19.7,3895,0.182,1,0.86,7.26,0,17924,90.39,B
175,west,einfamilienhaus,208.3,2005,2020.0,3,1,dreifach,fernwaerme,17.8,2932,0.173,0,0.88,7.01,1,19283,92.58,B
176,west,buero,225.2,1959,,4,2,zweifach,gas,18.3,3014,0.158,1,0.88,7.92,0,22938,101.83,C
177,nord,mehrfamilienhaus,326.4,1962,,5,1,zweifach,gas,18.6,3593,0.173,1,0.84,0.0,1,38938,119.3,C
178,ost,buero,251.6,2000,2025.0,4,2,dreifach,fernwaerme,,2780,0.175,1,0.98,7.68,1,10234,40.68,A
179,sued,einfamilienhaus,248.1,1958,1973.0,2,1,zweifach,gas,23.2,3247,0.164,1,0.85,10.46,1,24771,99.84,B
180,sued,einfamilienhaus,192.0,2016,2021.0,4,2,dreifach,oel,18.1,2986,0.169,1,0.94,0.0,0,16239,84.59,B
181,west,einfamilienhaus,195.3,1958,1959.0,4,1,zweifach,gas,19.6,3230,0.12,1,0.9,0.0,1,23394,119.81,C
182,nord,halle,161.0,2023,,3,2,dreifach,waermepumpe,18.6,3149,0.152,0,3.4,,0,15348,95.33,B
183,sued,einfamilienhaus,205.5,2000,,3,2,dreifach,fernwaerme,22.4,2674,0.1,1,0.97,0.0,0,19894,96.83,B
184,west,einfamilienhaus,103.4,1983,2006.0,1,2,zweifach,gas,19.6,2405,0.201,0,0.89,0.0,0,9079,87.77,B
185,west,schule,327.1,1970,2006.0,6,1,zweifach,pellet,21.6,3620,0.184,1,0.94,0.0,1,38256,116.96,C
186,nord,schule,116.3,1975,,1,3,zweifach,waermepumpe,20.6,3680,,1,3.54,0.0,0,11309,97.26,B
187,west,einfamilienhaus,251.4,2006,2025.0,5,3,zweifach,gas,23.6,3336,0.224,0,0.8,0.0,1,19324,76.87,B
188,nord,buero,307.6,2006,2025.0,8,3,zweifach,pellet,20.7,3472,0.137,0,0.89,0.0,1,16165,52.55,B
189,sued,einfamilienhaus,251.1,1965,1990.0,6,1,dreifach,gas,20.9,2144,0.144,0,0.97,0.0,1,15875,63.22,B
190,nord,mehrfamilienhaus,452.0,1990,,6,2,zweifach,gas,20.6,3087,0.106,0,0.95,0.0,1,29468,65.2,B
191,sued,mehrfamilienhaus,64.7,2024,2025.0,1,4,zweifach,oel,20.0,2860,0.231,0,0.75,0.0,1,3664,56.6,B
192,nord,halle,138.9,1969,1977.0,3,1,zweifach,gas,19.6,2972,0.21,0,0.92,0.0,0,16864,121.41,C
193,nord,einfamilienhaus,305.2,2002,2014.0,5,2,dreifach,waermepumpe,19.1,2757,0.246,0,2.63,0.0,1,14288,46.82,A
194,ost,buero,93.9,1962,,1,2,zweifach,fernwaerme,18.1,2758,0.259,0,1.03,0.0,0,6977,74.27,B
195,west,einfamilienhaus,117.9,2012,2023.0,2,2,dreifach,waermepumpe,20.3,3117,0.159,1,2.71,5.23,1,5047,42.8,A
196,sued,mehrfamilienhaus,218.7,1962,1990.0,4,2,dreifach,gas,21.5,2967,0.144,0,0.93,0.0,1,15914,72.75,B
197,sued,mehrfamilienhaus,176.9,1972,2009.0,5,2,zweifach,gas,19.8,3268,0.09,0,0.92,11.64,0,13401,75.75,B
198,sued,buero,212.5,1984,,3,3,zweifach,gas,20.7,3672,0.125,0,0.85,0.0,0,22561,106.15,C
199,ost,schule,183.9,1977,,4,2,zweifach,gas,19.4,3340,0.164,0,0.86,0.0,0,21488,116.87,C
200,nord,buero,191.7,1962,1995.0,2,2,dreifach,pellet,21.8,3289,0.077,0,0.95,10.88,1,17549,91.57,B
